SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,OfferKey,_Key
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=F84DF074-7A09-4958-923D-2B91D9641FA1&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=F84DF074-7A09-4958-923D-2B91D9641FA1&UID=C7C5FD83-46F3-4B30-B916-36897E483F47&OID=F56EBC4A-D692-4CB9-BE76-A67595D1D30C&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,4.59,Fixed,No,,24,0,0,No,,Get peace of mind with a fixed rate for 24 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,4d2def655235c292332d7f23cf9545b4b9a1c416,4d2def655235c292332d7f23cf9545b4b9a1c416
Kratos Gas & Power,United Energy Trading LLC,225 Union Boulevard,,Lakewood,OH,80228,(800) 296-2203,www.ohio.kratosgp.com,www.ohio.kratosgp.com,www.ohio.kratosgp.com,6.25,Variable,No,,12,0,0,No,,Standard month-to-month variable rate.  No cancellation fees.,04997a3d579c759b30aaeb76aea2d71234a9a49a,04997a3d579c759b30aaeb76aea2d71234a9a49a
CleanSky Energy,Titan Gas LLC,3355 W. Alabama,,Houston,TX,77098,(888) 355-6205,https://cleanskyenergy.com/,https://rates.cleanskyenergy.com:8443/rates/DownloadDoc?path=86759dd0-b60b-4fd7-bcc6-a57f33be0922.pdf&id_plan=52671,https://signup.cleanskyenergy.com/rates?utility_id=92&promocode=APPLESZERO,4.99,Fixed,No,,6,50,0,No,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,71b62336ac91dd67447d8ed97859f413498217e6,71b62336ac91dd67447d8ed97859f413498217e6
Santanna Energy Services,Santanna Natural Gas Corporation,300 E Business Way  Suite 200,,Cincinnati,OH,45241,(866) 325-0225,https://santannaenergyservices.com/offers/?utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=company-url&utm_content=gas&strategyGuid=30ce3c13-a301-46a6-82fe-22c7a16589d3,https://santannaenergyservices.com/wp-content/uploads/2024/04/SES_WP_TermsConditions_MM_G_OH_Static_A2A.pdf,https://santannaenergyservices.com/offers/?strategyGuid=30ce3c13-a301-46a6-82fe-22c7a16589d3&utm_source=energychoice.ohio.gov&utm_medium=referral&utm_campaign=FIX_12M_T1_DEOOHG&utm_content=gas,4.09,Fixed,No,,12,100,0,Yes,Enter gift card and tech giveaways with Santanna Rewards! THIS PRODUCT IS ONLY AVAILABLE FOR NEW CUSTOMERS WHO BUNDLE GAS & ELECTRIC. Visit company URL or call us directly to see electric price and enroll in this bundled product.,Fixed Price 12-month initial term. ONLY AVAILABLE TO NEW CUSTOMERS WHO BUNDLE GAS & ELECTRIC. Visit company URL or call us directly to see electric price and enroll in this bundled product.,3997133afd74583d70b26645ff19baa641ca74a1,3997133afd74583d70b26645ff19baa641ca74a1
Major Energy Services LLC,Major Energy Services LLC,12140 Wickchester Ln Suite #100,Ste 100,Houston,TX,77079,(888) 825-6760,https://majorenergy.com/,https://majorenergy.com/enroll/?getproductpdf=1&PromotionCode=&ProductID=149953&type=TOS&title=Terms+of+Service,https://majorenergy.com/enroll/,5.99,Fixed,No,,6,0,0,No,,A great choice for new customers to lock in a fixed rate. Enjoy peace of mind with a consistent rate for 6 months. With this energy plan  there is no monthly service fee and no early termination fee.,5adb201860c3cae8ca736693a0c8f79769f4ba17,5adb201860c3cae8ca736693a0c8f79769f4ba17
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,7.08,Fixed,No,,48,0,0,No,,,558e14ad310176d39b64f94e02ef62f8bb818f0a,558e14ad310176d39b64f94e02ef62f8bb818f0a
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Suite 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,4.48,Fixed,No,,18,0,0,No,,,48c2ad16d67ef79c6ef104dbf91b7469108fae3a,48c2ad16d67ef79c6ef104dbf91b7469108fae3a
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,Ste. 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/plans/,https://mercuryenergyohio.com/plans/dominion-energy-ohio/,4.68,Fixed,No,,36,0,0,No,,,1679e1480973a4451e4608db169a6b0a3f201ddc,1679e1480973a4451e4608db169a6b0a3f201ddc
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=DEO,5.57,Fixed,No,,24,12.5,0,No,,,21c490dca5e3e7751c8358880098e501a11de25a,21c490dca5e3e7751c8358880098e501a11de25a
Shipley Choice  LLC,Shipley Choice  LLC,415 Norway St,,York,PA,17403,(866) 573-4853,http://www.shipleyenergy.com,https://enroll.shipleyenergy.com,https://www.shipleyenergy.com/enrollment?product=ng,4.49,Fixed,No,,12,0,0,No,,Shopping for Natural Gas Supply just got EASY! No monthly fee  no cancellation fee  and best of all a LOW fixed price to take control of your energy costs. Plus earn 3% REWARDS with Shipley Energy's Rewards Program. For New Customers Only.,9ec0855e99485a6d474b26c84bfd263361497d32,9ec0855e99485a6d474b26c84bfd263361497d32
