SupplierCompanyName,CompanyName,SupplierAddress,SupplierAddress2,SupplierCity,SupplierState,SupplierZip,SupplierPhone,SupplierWebSiteUrl,TermsOfServiceURL,SignUpNowURL,Price,RateType,IsIntroductoryOffer,IntroductoryOfferDetails,TermLength,EarlyTerminationFee,MonthlyFee,IsPromotionalOffer,PromotionalOfferDetails,OfferDetails,_Key,_Supplier,_Rate,_Term,_ETF
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,ohionaturalgas.com,https://www.ohionaturalgas.com/list-plans/?rateClassCode=01&ldcCode=COH,https://www.ohionaturalgas.com/applecoh,0.859,Fixed,No,,24,12.5,0,Yes,Mention Promo Code APPLECOH. ,Mention Promo Code APPLECOH. ,HK::234fc7787784e833f45267606ea5cab223076260,Ohio Natural Gas,0.859,24,12.5
AEP Energy Inc,AEP Energy Inc,1 Riverside Plaza,20th Floor,Columbus,OH,43215,(877) 648-1922,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-coh&utm_source=A2A&utm_medium=shopping&utm_campaign=coh_12,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-coh&utm_source=A2A&utm_medium=shopping&utm_campaign=coh_12,https://www.aepenergy.com/acquisition/campaign/offers/?cc=puco-coh&utm_source=A2A&utm_medium=shopping&utm_campaign=coh_12,0.775,Fixed,No,,12,0,0,Yes,Enroll in this price plan and you’ll receive up to $36 Reward Dollars over the course of the plan to use in AEP Energy Reward Store  our one-stop online marketplace filled with a variety of energy-saving products for your home  available exclusively for AEP Energy customers!  Offer is valid for both new and existing customers. For more information  visit AEPenergyrewardstore.com. ,This offer is limited to residential customers of Columbia Gas of Ohio and is valid for both new and existing customers. ,HK::c075a66e3ac88494f1f04bcd41ce610064de4ce4,AEP Energy Inc,0.775,12,0
Ohio Natural Gas,SouthStar Energy Services LLC,P.O. Box 14657,,Cleveland,OH,44114,(800) 735-0862,https://www.ohionaturalgas.com/green/,https://www.ohionaturalgas.com/list-plans/?GL=true,https://www.ohionaturalgas.com/list-plans/?GL=true,1.199,Variable,No,,1,0,0,No,Offset your Carbon Footprint by making your gas usage Carbon Neutral. Sign up with Greener Life from Ohio Natural Gas today!,Sign up with Greener Life from Ohio Natural Gas today. Variable prices may change or remain the same each month. The February 2026 variable rate is 1.19900/Ccf. ,HK::6ef3592921627f08f9bff96a2835f24516e0553a,Ohio Natural Gas,1.199,1,0
CleanSky Energy,Titan Gas LLC,3355 W. Alabama,,Houston,TX,77098,(888) 355-6205,https://cleanskyenergy.com/,https://rates.cleanskyenergy.com:8443/rates/DownloadDoc?path=86759dd0-b60b-4fd7-bcc6-a57f33be0922.pdf&id_plan=52671,https://signup.cleanskyenergy.com/rates?utility_id=81&promocode=APPLESZERO,0.679,Fixed,No,,24,150,0,No,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,This plan is for new customers only. Have a question about a plan or need help placing an order? Call us: 1-888-355-6205 | Email us: CustomerCare@CleanSkyEnergy.com,HK::33fc30b44d89243403cfc40bb77b7ac85c1b22b5,CleanSky Energy,0.679,24,150
Direct Energy Services LLC,Direct Energy Services LLC,PO Box 180,,Tulsa,OK,74101,(855) 355-3733,https://www.directenergy.com/,https://directenergydocuments.gesc.com/TCPage.aspx?Doc=DEROHDTDTCG,https://shop.directenergy.com/usn/gas-live-brighter-18?msid=5360,0.779,Fixed,No,,18,0,0,No,,New Customers Only,HK::2eeec5409fec4d5dab361639b2f47f44330794e2,Direct Energy Services LLC,0.779,18,0
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=0ABD5027-BB93-47F9-92BF-7B84253C7078&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=0ABD5027-BB93-47F9-92BF-7B84253C7078&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,0.639,Fixed,No,,24,0,0,No,,Get peace of mind with a fixed rate for 24 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::b465d03ec317fc57312d18b3d4b08b72b9ccb1af,Ohio Gas & Electric,0.639,24,0
Mercury Energy Marketing LLC,Mercury Energy Marketing LLC,6545 Market Ave. N,STE 100,North Canton,OH,44721,(800) 975-6372,www.mercuryenergyohio.com,https://mercuryenergyohio.com/columbia-gas-ohio-res/,https://mercuryenergyohio.com/columbia-gas-ohio-res/,0.658,Fixed,No,,12,0,0,No,,$0 Termination Fees,HK::660cd8da349881477c53a505ef476037d1465315,Mercury Energy Marketing LLC,0.658,12,0
Utility Gas and Power,LE Energy LLC,2680 Corporate Park Dr,Ste 100,Opelika,AL,36801,(855) 747-4931,www.utilitygasandpower.com,https://www.utilitygasandpower.com/gas-tc,https://www.utilitygasandpower.com/enroll?referral=a2a&rate=6.99-12mos,0.699,Fixed,No,,12,150,0,No,,Guaranteed fixed rate with price protection!,HK::fc1fc8f2a02cf66ba7dddac8e3c8faeca6fceb67,Utility Gas and Power,0.699,12,150
Nordic Energy Services LLC,Nordic Energy Services LLC,1 Tower Lane  Ste. 300,,Oakbrook Terrace,IL,60181,(877) 808-1022,https://www.nordicenergy-us.com/,https://www.nordicenergy-us.com/,https://www.nordicenergy-us.com/,0.999,Variable,No,,2,0,0,Yes,Fixed rate of .999/Ccf for two months then defaults to a variable rate. No early termination fees!,Fixed rate of .999/Ccf for two months then defaults to a variable rate. No early termination fees!,HK::12b139a62db41fe5c647b3144548e0abe902c9de,Nordic Energy Services LLC,0.999,2,0
Ohio Gas & Electric,US Gas & Electric Inc.,P.O. Box 660403,,Dallas,TX,75266-0433,(866) 706-7360,https://www.ohgande.com/?PromoCode=Rateboard&rfid=PUCO,https://shopping.ohgande.com/cust/?PID=72F4B53A-7190-4B88-B76B-7682B166005D&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,https://shopping.ohgande.com/cust/?PID=72F4B53A-7190-4B88-B76B-7682B166005D&UID=D2873DA5-82F3-4F75-8298-505FA775E78A&OID=5C461206-9E28-4D46-BFAD-B0ADA52E0AC1&RFID=PUCO&PUC=1&STATE=OH&SN=USG&CT=G&PromoCode=RATEBOARD,0.699,Fixed,No,,9,0,0,No,,Get peace of mind with a fixed rate for 9 months - plus  $50 in Reward Dollars every month once your account's active. Special offer for new  online customers.,HK::b465d03ec317fc57312d18b3d4b08b72b9ccb1af,Ohio Gas & Electric,0.699,9,0
